url,creator_username,is_shoppable,post_id,description,create_time,formatted_date,duration,is_photo_post,content_type,views,likes,comments,shares
https://www.tiktok.com/@stephanie.m.sardinas/video/7540812256028691725,stephanie.m.sardinas,True,7540812256028691725,So so cute!! #poncho #review #outfitinspo #fashion #transitionalfalloutfit ,1755732201,2025-08-20 16:23:21,51,False,video,931,19,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540807510790393101,stephanie.m.sardinas,True,7540807510790393101,LOVE LOVE THIS DRESS!!! #dress #perfectdress #outfitinspo #fashion #dressinspo ,1755731110,2025-08-20 16:05:10,15,False,video,5319,83,2,2
https://www.tiktok.com/@stephanie.m.sardinas/video/7540806462369467661,stephanie.m.sardinas,True,7540806462369467661,Love love love!! #dress #perfectdress #outfitinspo #viral #fashion ,1755730857,2025-08-20 16:00:57,22,False,video,1879,39,1,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540802851874934071,stephanie.m.sardinas,True,7540802851874934071,IM SPEECHLESS!! #dress #review #perfectdress #outfitinspo #viral ,1755730028,2025-08-20 15:47:08,64,False,video,2883,32,0,1
https://www.tiktok.com/@stephanie.m.sardinas/video/7540759623003802935,stephanie.m.sardinas,True,7540759623003802935,Loveee! #transitionalfalloutfit #fyp #outfitinspo #viral #set ,1755719960,2025-08-20 12:59:20,16,False,video,403,14,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540758037661863223,stephanie.m.sardinas,True,7540758037661863223,Obsessed!! Size a! #set #transitionalfalloutfit #accessorizewithme #fyp #outfitinspo ,1755719590,2025-08-20 12:53:10,19,False,video,287,7,1,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540755699689606414,stephanie.m.sardinas,True,7540755699689606414,Love me my sets!! #set #review #transitionalfalloutfit #viral #outfitinspo ,1755719040,2025-08-20 12:44:00,66,False,video,618,7,0,0
https://www.tiktok.com/@lauren.clutter/video/7540791362619329847,lauren.clutter,False,7540791362619329847,finished our first homeschool day and I am spent #momlife #momoffour ,1755727345,2025-08-20 15:02:25,107,False,video,3655,263,9,1
https://www.tiktok.com/@lauren.clutter/video/7540713094268325134,lauren.clutter,True,7540713094268325134,feeling pink today #momstyle #momootd ,1755709126,2025-08-20 09:58:46,32,False,video,1394,51,2,0
https://www.tiktok.com/@lauren.clutter/video/7540706831283342606,lauren.clutter,False,7540706831283342606,this just in - Lily wants oranges again and Jeremiah would prefer nothing healthy. @Uncrustables ftw today. #momoffour #schoollunch #sahmlife ,1755707667,2025-08-20 09:34:27,99,False,video,5269,448,15,1
https://www.tiktok.com/@lauren.clutter/video/7540626542741753102,lauren.clutter,True,7540626542741753102,I know it’s early for this but y’all - how stinking cute is this shirt for Halloween?! ,1755688948,2025-08-20 04:22:28,47,False,video,2170,79,2,0
https://www.tiktok.com/@lauren.clutter/video/7540487120293465357,lauren.clutter,True,7540487120293465357,Mom of four GRWM,1755656480,2025-08-19 19:21:20,29,False,video,1351,66,0,0
https://www.tiktok.com/@lauren.clutter/video/7540389608278756622,lauren.clutter,True,7540389608278756622,The pants are seriously so comfortable #momstyle ,1755633776,2025-08-19 13:02:56,31,False,video,2628,110,0,0
https://www.tiktok.com/@lauren.clutter/video/7540238827189849358,lauren.clutter,False,7540238827189849358,struggling to get back into a school morning routine 🥱 #momoffour ,1755598677,2025-08-19 03:17:57,5,False,video,2246,137,2,0
https://www.tiktok.com/@lauren.clutter/video/7540118035596610829,lauren.clutter,False,7540118035596610829,Trying out the it cosmetics cc cream and unfortunately it’s not a win for me ,1755570561,2025-08-18 19:29:21,301,False,video,1707,78,9,0
https://www.tiktok.com/@lauren.clutter/video/7541123684329704717,lauren.clutter,False,7541123684329704717,weekly grocery haul - almost came in under budget but not quite 😂 @Sprouts Farmers Market @ALDI USA @Perfect Bar ,1755804694,2025-08-21 19:31:34,0,False,video,0,837,0,0
https://www.tiktok.com/@lauren.clutter/video/7542363112075185421,lauren.clutter,False,7542363112075185421,Replying to @Crazeykat can’t believe somehow I stopped filming and didn’t catch that tie breaking on camera! but the tree is down!,1756093294,2025-08-25 03:41:34,0,False,video,0,111,0,0
https://www.tiktok.com/@lauren.clutter/video/7542317177169284365,lauren.clutter,True,7542317177169284365,church GRWM ,1756082597,2025-08-25 00:43:17,0,False,video,0,71,0,0
https://www.tiktok.com/@lauren.clutter/video/7542237902948928823,lauren.clutter,False,7542237902948928823,"welp, Daniel gets to have a surprise project of fixing this leak under the sink ",1756064144,2025-08-24 19:35:44,0,False,video,0,550,0,0
https://www.tiktok.com/@lauren.clutter/video/7542220246606793997,lauren.clutter,True,7542220246606793997,Ummm how cute are these lilac headphones?! I love that they are completely noise cancelling so I can listen to my audiobooks in peace whilst doing the dishes @Bose #momfind ,1756060043,2025-08-24 18:27:23,0,False,video,0,82,0,0
https://www.tiktok.com/@lauren.clutter/video/7542160414176480526,lauren.clutter,True,7542160414176480526,church ootd as a 38 year old mom of four ,1756046107,2025-08-24 14:35:07,0,False,video,0,87,0,0
https://www.tiktok.com/@lauren.clutter/video/7541861611632381197,lauren.clutter,False,7541861611632381197,The front porch is always so cute but the front of the house not so much. So excited to finally fix all the landscaping!,1755976518,2025-08-23 19:15:18,0,False,video,0,587,0,0
https://www.tiktok.com/@lauren.clutter/video/7541806682582699277,lauren.clutter,True,7541806682582699277,now this is 100% my vibe Connie baby ,1755963750,2025-08-23 15:42:30,0,False,video,0,72,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542270362411617591,stephanie.m.sardinas,True,7542270362411617591,The perfect pieces to elevate any outfit!! #princesspolly #princesspollybuttonup #princesspollyskort #outfitideas #fyp ,1756071695,2025-08-24 21:41:35,0,False,video,0,156,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542262024777059598,stephanie.m.sardinas,True,7542262024777059598,More then obsessed!! #princesspolly #princesspollyskort #princesspollybuttonup #fyp #outfitideas ,1756069758,2025-08-24 21:09:18,0,False,video,0,117,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542238845979397431,stephanie.m.sardinas,True,7542238845979397431,Love me my sets!! #gap #gapsets #viralset #outfitideas #fyp ,1756064357,2025-08-24 19:39:17,0,False,video,0,15,0,0
